"Page","State","DnaImports","UiImports","UiImportList","RawInput","RawSelect","RawTextarea","RawTable","RawInputDate","DnaDataTableCard","DnaPageHeader","DnaKpiGrid","DnaCell","DnaSearchableSelect","DnaDatePicker","DnaNumberInput","DnaCurrencyInput","DnaConfirmDialog","UseDnaToast","DnaModal","DnaToolbar","DnaSelect","DnaInput","DnaBadge","DnaTabNav","DnaTable","BadgeBugCount","BadgeBugLines","DashboardCard","Rounded24","BorderColorVar","Score"
"finance\transactions\page.tsx","MIXED","1","4","from ""@/components/ui/table""; from ""@/components/ui/dialog""; from ""@/components/ui/label""; from ""@/components/ui/select""","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","0","0","1","204","0","0","0","7"
"hr\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"hr\attendance\page.tsx","DNA","1","0","","2","1","0","1","1","7","2","3","0","0","0","0","0","0","2","3","0","0","0","15","2","0","0","","0","0","0","30"
"hr\kpi\page.tsx","DNA","1","0","","1","2","0","1","0","3","2","3","0","0","0","0","0","0","2","3","0","0","0","7","1","0","0","","0","0","0","17"
"hr\payroll\page.tsx","DNA","1","0","","2","0","0","1","0","3","2","3","0","0","0","0","0","0","2","3","0","0","0","5","1","0","0","","0","0","0","16"
"hr\recruitment\page.tsx","DNA","1","0","","5","3","0","2","0","7","2","3","0","0","0","0","0","0","2","5","0","0","0","17","2","0","0","","0","0","0","28"
"hr\tickets\page.tsx","DNA","1","0","","3","3","1","1","2","3","2","3","0","0","0","0","0","0","2","3","0","0","0","7","2","0","0","","0","0","0","14"
"kpi-management\department\page.tsx","NONE","0","0","","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","-3"
"kpi-management\department\[departmentId]\page.tsx","NONE","0","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","-1"
"kpi-management\individual\page.tsx","NONE","0","0","","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","-5"
"kpi-management\individual\[employeeId]\page.tsx","NONE","0","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","-1"
"kpi-management\settings\page.tsx","NONE","0","0","","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","-2"
"legality\apj-release\page.tsx","DNA","1","0","","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","13","0","0","3","165,167,169","0","0","0","12"
"legality\ckpb-audit\page.tsx","DNA","1","0","","1","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","2","175,177","0","0","0","9"
"legality\inbox\page.tsx","DNA","1","0","","3","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","3","73,74,346","0","0","0","5"
"legality\input\page.tsx","DNA","1","0","","1","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","-4"
