# UUID_CONVERSION_ALLOWLIST

Generated from canonical Prisma schema. Each entry: Prisma model, table (per @@map or default snake_case), column declared @db.Uuid.
Total entries: 377

| Prisma model | Table | Column | File |
| SalesOrderItem | sales_order_items | soId | bussdev.prisma |
| SalesOrderItem | sales_order_items | taxId | bussdev.prisma |
| SalesOrder | sales_orders | currencyId | bussdev.prisma |
| SalesOrder | sales_orders | formulaId | bussdev.prisma |
| SalesOrder | sales_orders | id | bussdev.prisma |
| SalesOrder | sales_orders | leadId | bussdev.prisma |
| SalesOrder | sales_orders | sampleId | bussdev.prisma |
| SalesOrder | sales_orders | taxId | bussdev.prisma |
| SalesReturnItem | sales_return_items | id | bussdev.prisma |
| SalesReturnItem | sales_return_items | materialId | bussdev.prisma |
| SalesReturnItem | sales_return_items | returnId | bussdev.prisma |
| SalesReturn | sales_returns | id | bussdev.prisma |
| SalesReturn | sales_returns | soId | bussdev.prisma |
| SalesReturn | sales_returns | warehouseId | bussdev.prisma |
| SalesTarget | sales_targets | id | system.prisma |
| SalesTarget | sales_targets | userId | system.prisma |
| SampleFeedback | sample_feedback | id | rnd.prisma |
| SampleFeedback | sample_feedback | sampleRequestId | rnd.prisma |
| SampleRequest | sample_requests | id | rnd.prisma |
| SampleRequest | sample_requests | leadId | rnd.prisma |
| SampleRequest | sample_requests | npfId | rnd.prisma |
| SampleRequest | sample_requests | paymentApprovedById | rnd.prisma |
| SampleRequest | sample_requests | picId | rnd.prisma |
| SampleRequest | sample_requests | rndId | rnd.prisma |
| SampleStageLog | sample_stage_logs | id | rnd.prisma |
| SampleStageLog | sample_stage_logs | sampleRequestId | rnd.prisma |
| SearchVisibilityMetric | search_visibility_metrics | id | marketing.prisma |
| SelfQrDevice | self_qr_devices | id | self-qr.prisma |
| SelfQrHistoryRun | self_qr_history_runs | deviceId | self-qr.prisma |
| SelfQrHistoryRun | self_qr_history_runs | id | self-qr.prisma |
| SelfQrNormalizedEvent | self_qr_normalized_events | deviceId | self-qr.prisma |
| SelfQrNormalizedEvent | self_qr_normalized_events | id | self-qr.prisma |
| ShipmentConsumedLot | shipment_consumed_lots | finishedGoodId | production.prisma |
| ShipmentConsumedLot | shipment_consumed_lots | id | production.prisma |
| ShipmentConsumedLot | shipment_consumed_lots | shipmentId | production.prisma |
| ShipmentConsumedLot | shipment_consumed_lots | shipmentItemId | production.prisma |
| ShipmentItem | shipment_items | id | production.prisma |
| ShipmentItem | shipment_items | materialId | production.prisma |
| ShipmentItem | shipment_items | shipmentId | production.prisma |
| Shipment | shipments | id | production.prisma |
| Shipment | shipments | logisticsId | production.prisma |
| Shipment | shipments | soId | production.prisma |
| StateTransitionLog | state_transition_logs | changedById | system.prisma |
| StateTransitionLog | state_transition_logs | id | system.prisma |
| StockAdjustmentItem | stock_adjustment_items | adjustmentId | finance.prisma |
| StockAdjustmentItem | stock_adjustment_items | id | finance.prisma |
| StockAdjustmentItem | stock_adjustment_items | materialId | finance.prisma |
| StockAdjustment | stock_adjustments | accountId | finance.prisma |
| StockAdjustment | stock_adjustments | id | finance.prisma |
| StockAdjustment | stock_adjustments | warehouseId | finance.prisma |
| StockOpnameItem | stock_opname_items | id | warehouse.prisma |
| StockOpnameItem | stock_opname_items | materialId | warehouse.prisma |
| StockOpnameItem | stock_opname_items | opnameId | warehouse.prisma |
| StockOpname | stock_opnames | approvedById | warehouse.prisma |
| StockOpname | stock_opnames | id | warehouse.prisma |
| StockOpname | stock_opnames | journalEntryId | warehouse.prisma |
| StockOpname | stock_opnames | picId | warehouse.prisma |
| StockOpname | stock_opnames | warehouseId | warehouse.prisma |
| Supplier | suppliers | categoryId | warehouse.prisma |
| Supplier | suppliers | id | warehouse.prisma |
| SystemConfig | system_configs | id | system.prisma |
| SystemOverrideLog | system_override_logs | authorizedById | system.prisma |
| SystemOverrideLog | system_override_logs | id | system.prisma |
