web_scraper_order,web_scraper_start_url,pagination,kode,barang,harga_beli,data,sub_kategori,kategori,satuan,barang2
"1788654371-157","https://kil.gserp.id/goods-manage","","BBK00157","Soft Benberg Arome (Dreamlab)","950.00","157","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-158","https://kil.gserp.id/goods-manage","","BBK00158","Sweet Vanila (Dreamlab)","500.00","158","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-159","https://kil.gserp.id/goods-manage","","BBK00159","Tea Tree EO (Dreamlab)","1,200.00","159","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-160","https://kil.gserp.id/goods-manage","","BBK00160","Nicky Perfume (Dreamlab)","0.00","160","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-161","https://kil.gserp.id/goods-manage","","BBK00161","Blue Power/Aigner Blue (Dreamlab)","750.00","161","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-162","https://kil.gserp.id/goods-manage","","BBK00162","Pink Chiffon / Vanilla Ice (Dreamlab)","764.30","162","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-163","https://kil.gserp.id/goods-manage","","BBK00163","Audio Men Aqua di Gio (Dreamlab)","1,154.00","163","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-164","https://kil.gserp.id/goods-manage","","BBK00164","Courage M /Dior Sauvage (Dreamlab)","1,032.00","164","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-165","https://kil.gserp.id/goods-manage","","BBK00165","On The Beach (Dreamlab)","1,170.00","165","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-166","https://kil.gserp.id/goods-manage","","BBK00166","Diamor Women (Dreamlab)","871.18","166","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
